meta_solver,seed,iteration,full_exploitability,runtime_s
regret_matching,3,11,0.147744,113.3
regret_matching,3,12,0.023937,113.3
regret_matching,3,13,0.017782,113.3
regret_matching,3,14,0.015747,113.3
regret_matching,4,0,0.458333,114.5
regret_matching,4,1,0.166665,114.5
regret_matching,4,2,0.223122,114.5
regret_matching,4,3,0.153019,114.5
regret_matching,4,4,0.133968,114.5
regret_matching,4,5,0.130759,114.5
regret_matching,4,6,0.148639,114.5
regret_matching,4,7,0.155255,114.5
regret_matching,4,8,0.131920,114.5
regret_matching,4,9,0.130382,114.5
regret_matching,4,10,0.019996,114.5
regret_matching,4,11,0.028914,114.5
regret_matching,4,12,0.028935,114.5
regret_matching,4,13,0.028957,114.5
regret_matching,4,14,0.027815,114.5
projected_replicator,0,0,0.458333,133.7
projected_replicator,0,1,0.250000,133.7
projected_replicator,0,2,0.149583,133.7
projected_replicator,0,3,0.233155,133.7
projected_replicator,0,4,0.214641,133.7
projected_replicator,0,5,0.133096,133.7
projected_replicator,0,6,0.140450,133.7
projected_replicator,0,7,0.152336,133.7
projected_replicator,0,8,0.173899,133.7
projected_replicator,0,9,0.178165,133.7
projected_replicator,0,10,0.169722,133.7
projected_replicator,0,11,0.129947,133.7
projected_replicator,0,12,0.120746,133.7
projected_replicator,0,13,0.126114,133.7
projected_replicator,0,14,0.128393,133.7
projected_replicator,1,0,0.458333,132.7
projected_replicator,1,1,0.166559,132.7
projected_replicator,1,2,0.226783,132.7
projected_replicator,1,3,0.152041,132.7
projected_replicator,1,4,0.100080,132.7
projected_replicator,1,5,0.127515,132.7
projected_replicator,1,6,0.135928,132.7
projected_replicator,1,7,0.140501,132.7
projected_replicator,1,8,0.147744,132.7
projected_replicator,1,9,0.147425,132.7
projected_replicator,1,10,0.149989,132.7
projected_replicator,1,11,0.152459,132.7
projected_replicator,1,12,0.153035,132.7
projected_replicator,1,13,0.154715,132.7
projected_replicator,1,14,0.139500,132.7
projected_replicator,2,0,0.458333,133.8
projected_replicator,2,1,0.166986,133.8
projected_replicator,2,2,0.137913,133.8
projected_replicator,2,3,0.130050,133.8
projected_replicator,2,4,0.075759,133.8
projected_replicator,2,5,0.077480,133.8
projected_replicator,2,6,0.058427,133.8
projected_replicator,2,7,0.075927,133.8
projected_replicator,2,8,0.093396,133.8
projected_replicator,2,9,0.094667,133.8
projected_replicator,2,10,0.096472,133.8
projected_replicator,2,11,0.066333,133.8
projected_replicator,2,12,0.045686,133.8
projected_replicator,2,13,0.045253,133.8
projected_replicator,2,14,0.054884,133.8
projected_replicator,3,0,0.458333,132.7
projected_replicator,3,1,0.252012,132.7
projected_replicator,3,2,0.143752,132.7
projected_replicator,3,3,0.166537,132.7
projected_replicator,3,4,0.133904,132.7
projected_replicator,3,5,0.053971,132.7
projected_replicator,3,6,0.079073,132.7
projected_replicator,3,7,0.098845,132.7
projected_replicator,3,8,0.113755,132.7
projected_replicator,3,9,0.128132,132.7
projected_replicator,3,10,0.135358,132.7
projected_replicator,3,11,0.134410,132.7
projected_replicator,3,12,0.106302,132.7
projected_replicator,3,13,0.101642,132.7
projected_replicator,3,14,0.104801,132.7
projected_replicator,4,0,0.458333,133.6
projected_replicator,4,1,0.166688,133.6
projected_replicator,4,2,0.202728,133.6
projected_replicator,4,3,0.135140,133.6
projected_replicator,4,4,0.215039,133.6
projected_replicator,4,5,0.114618,133.6
projected_replicator,4,6,0.127603,133.6
projected_replicator,4,7,0.140112,133.6
projected_replicator,4,8,0.096005,133.6
projected_replicator,4,9,0.104694,133.6
projected_replicator,4,10,0.111482,133.6
projected_replicator,4,11,0.116686,133.6
projected_replicator,4,12,0.078568,133.6
projected_replicator,4,13,0.084724,133.6
projected_replicator,4,14,0.088458,133.6
