iteration,p0_a1,p0_a2,p0_a3,p1_a1,p1_a2,p1_a3,br_p0,br_p1,full_exploitability
231,0.291845,0.587983,0.120172,0.188841,0.442060,0.369099,1,2,0.150961
232,0.290598,0.589744,0.119658,0.188034,0.440171,0.371795,1,2,0.150760
233,0.289362,0.591489,0.119149,0.187234,0.438298,0.374468,1,2,0.150557
234,0.288136,0.593220,0.118644,0.186441,0.436441,0.377119,1,2,0.150352
235,0.286920,0.594937,0.118143,0.185654,0.434599,0.379747,1,2,0.150145
236,0.285714,0.596639,0.117647,0.184874,0.432773,0.382353,1,2,0.149936
237,0.284519,0.598326,0.117155,0.184100,0.430962,0.384937,1,2,0.149726
238,0.283333,0.600000,0.116667,0.183333,0.429167,0.387500,1,2,0.149514
239,0.282158,0.601660,0.116183,0.182573,0.427386,0.390041,1,2,0.149300
240,0.280992,0.603306,0.115702,0.181818,0.425620,0.392562,1,2,0.149085
241,0.279835,0.604938,0.115226,0.181070,0.423868,0.395062,1,2,0.148868
242,0.278689,0.606557,0.114754,0.180328,0.422131,0.397541,1,2,0.148650
243,0.277551,0.608163,0.114286,0.179592,0.420408,0.400000,1,2,0.148430
244,0.276423,0.609756,0.113821,0.178862,0.418699,0.402439,1,2,0.148209
245,0.275304,0.611336,0.113360,0.178138,0.417004,0.404858,1,2,0.147986
246,0.274194,0.612903,0.112903,0.177419,0.415323,0.407258,1,2,0.147763
247,0.273092,0.614458,0.112450,0.176707,0.413655,0.409639,1,2,0.147538
248,0.272000,0.616000,0.112000,0.176000,0.412000,0.412000,1,2,0.147312
249,0.270916,0.617530,0.111554,0.175299,0.410359,0.414343,1,2,0.149077
250,0.269841,0.615079,0.115079,0.174603,0.408730,0.416667,2,2,0.149306
251,0.268775,0.612648,0.118577,0.173913,0.407115,0.418972,2,2,0.149526
252,0.267717,0.610236,0.122047,0.173228,0.405512,0.421260,2,2,0.149738
253,0.266667,0.607843,0.125490,0.172549,0.403922,0.423529,2,2,0.149942
254,0.265625,0.605469,0.128906,0.171875,0.402344,0.425781,2,2,0.150139
255,0.264591,0.603113,0.132296,0.171206,0.400778,0.428016,2,2,0.150328
256,0.263566,0.600775,0.135659,0.170543,0.399225,0.430233,2,2,0.150509
257,0.262548,0.598456,0.138996,0.169884,0.397683,0.432432,2,2,0.150684
258,0.261538,0.596154,0.142308,0.169231,0.396154,0.434615,2,2,0.150851
259,0.260536,0.593870,0.145594,0.168582,0.394636,0.436782,2,2,0.151011
260,0.259542,0.591603,0.148855,0.167939,0.393130,0.438931,2,2,0.151164
261,0.258555,0.589354,0.152091,0.167300,0.391635,0.441065,2,2,0.151311
262,0.257576,0.587121,0.155303,0.166667,0.390152,0.443182,2,2,0.151451
263,0.256604,0.584906,0.158491,0.166038,0.388679,0.445283,2,2,0.151584
264,0.255639,0.582707,0.161654,0.165414,0.387218,0.447368,2,2,0.151712
265,0.254682,0.580524,0.164794,0.164794,0.385768,0.449438,2,2,0.151833
266,0.253731,0.578358,0.167910,0.164179,0.384328,0.451493,2,2,0.151948
267,0.252788,0.576208,0.171004,0.163569,0.382900,0.453532,2,2,0.152057
268,0.251852,0.574074,0.174074,0.162963,0.381481,0.455556,2,2,0.152160
269,0.250923,0.571956,0.177122,0.162362,0.380074,0.457565,2,2,0.152258
270,0.250000,0.569853,0.180147,0.161765,0.378676,0.459559,2,2,0.152351
271,0.249084,0.567766,0.183150,0.161172,0.377289,0.461538,2,2,0.152437
272,0.248175,0.565693,0.186131,0.160584,0.375912,0.463504,2,2,0.152519
273,0.247273,0.563636,0.189091,0.160000,0.374545,0.465455,2,2,0.152595
274,0.246377,0.561594,0.192029,0.159420,0.373188,0.467391,2,2,0.152666
275,0.245487,0.559567,0.194946,0.158845,0.371841,0.469314,2,2,0.152732
276,0.244604,0.557554,0.197842,0.158273,0.370504,0.471223,2,2,0.152794
277,0.243728,0.555556,0.200717,0.157706,0.369176,0.473118,2,2,0.152850
278,0.242857,0.553571,0.203571,0.157143,0.367857,0.475000,2,2,0.152902
279,0.241993,0.551601,0.206406,0.156584,0.366548,0.476868,2,2,0.152949
280,0.241135,0.549645,0.209220,0.156028,0.365248,0.478723,2,2,0.152992
281,0.240283,0.547703,0.212014,0.155477,0.363958,0.480565,2,2,0.153030
282,0.239437,0.545775,0.214789,0.154930,0.362676,0.482394,2,2,0.153064
283,0.238596,0.543860,0.217544,0.154386,0.361404,0.484211,2,2,0.153093
284,0.237762,0.541958,0.220280,0.153846,0.360140,0.486014,2,2,0.153119
285,0.236934,0.540070,0.222997,0.153310,0.358885,0.487805,2,2,0.153140
286,0.236111,0.538194,0.225694,0.152778,0.357639,0.489583,2,2,0.153158
