iteration,p0_avg_heads,p0_avg_tails,p1_avg_heads,p1_avg_tails,p0_best_response,p1_best_response,full_exploitability
195,0.484694,0.515306,0.464286,0.535714,1,0,5.102041e-02
196,0.482234,0.517766,0.467005,0.532995,1,0,5.076142e-02
197,0.479798,0.520202,0.469697,0.530303,1,0,5.050505e-02
198,0.477387,0.522613,0.472362,0.527638,1,0,5.025126e-02
199,0.475000,0.525000,0.475000,0.525000,1,0,5.000000e-02
200,0.472637,0.527363,0.477612,0.522388,1,0,4.975124e-02
201,0.470297,0.529703,0.480198,0.519802,1,0,4.950495e-02
202,0.467980,0.532020,0.482759,0.517241,1,0,4.926108e-02
203,0.465686,0.534314,0.485294,0.514706,1,0,4.901961e-02
204,0.463415,0.536585,0.487805,0.512195,1,0,4.878049e-02
205,0.461165,0.538835,0.490291,0.509709,1,0,4.854369e-02
206,0.458937,0.541063,0.492754,0.507246,1,0,4.830918e-02
207,0.456731,0.543269,0.495192,0.504808,1,0,4.807692e-02
208,0.454545,0.545455,0.497608,0.502392,1,0,4.784689e-02
209,0.452381,0.547619,0.500000,0.500000,1,0,4.761905e-02
210,0.454976,0.545024,0.502370,0.497630,0,0,4.739336e-02
211,0.457547,0.542453,0.504717,0.495283,0,0,4.716981e-02
212,0.460094,0.539906,0.507042,0.492958,0,0,4.694836e-02
213,0.462617,0.537383,0.509346,0.490654,0,0,4.672897e-02
214,0.465116,0.534884,0.511628,0.488372,0,0,4.651163e-02
215,0.467593,0.532407,0.513889,0.486111,0,0,4.629630e-02
216,0.470046,0.529954,0.516129,0.483871,0,0,4.608295e-02
217,0.472477,0.527523,0.518349,0.481651,0,0,4.587156e-02
218,0.474886,0.525114,0.520548,0.479452,0,0,4.566210e-02
219,0.477273,0.522727,0.522727,0.477273,0,0,4.545455e-02
220,0.479638,0.520362,0.524887,0.475113,0,0,4.524887e-02
221,0.481982,0.518018,0.527027,0.472973,0,0,4.504505e-02
222,0.484305,0.515695,0.529148,0.470852,0,0,4.484305e-02
223,0.486607,0.513393,0.531250,0.468750,0,0,4.464286e-02
224,0.488889,0.511111,0.533333,0.466667,0,0,4.444444e-02
225,0.491150,0.508850,0.535398,0.464602,0,0,4.424779e-02
226,0.493392,0.506608,0.537445,0.462555,0,0,4.405286e-02
227,0.495614,0.504386,0.539474,0.460526,0,0,4.385965e-02
228,0.497817,0.502183,0.541485,0.458515,0,0,4.366812e-02
229,0.500000,0.500000,0.543478,0.456522,0,0,4.347826e-02
230,0.502165,0.497835,0.545455,0.454545,0,0,4.761905e-02
231,0.504310,0.495690,0.543103,0.456897,0,1,4.741379e-02
232,0.506438,0.493562,0.540773,0.459227,0,1,4.721030e-02
233,0.508547,0.491453,0.538462,0.461538,0,1,4.700855e-02
234,0.510638,0.489362,0.536170,0.463830,0,1,4.680851e-02
235,0.512712,0.487288,0.533898,0.466102,0,1,4.661017e-02
236,0.514768,0.485232,0.531646,0.468354,0,1,4.641350e-02
237,0.516807,0.483193,0.529412,0.470588,0,1,4.621849e-02
238,0.518828,0.481172,0.527197,0.472803,0,1,4.602510e-02
239,0.520833,0.479167,0.525000,0.475000,0,1,4.583333e-02
240,0.522822,0.477178,0.522822,0.477178,0,1,4.564315e-02
241,0.524793,0.475207,0.520661,0.479339,0,1,4.545455e-02
242,0.526749,0.473251,0.518519,0.481481,0,1,4.526749e-02
243,0.528689,0.471311,0.516393,0.483607,0,1,4.508197e-02
244,0.530612,0.469388,0.514286,0.485714,0,1,4.489796e-02
245,0.532520,0.467480,0.512195,0.487805,0,1,4.471545e-02
246,0.534413,0.465587,0.510121,0.489879,0,1,4.453441e-02
247,0.536290,0.463710,0.508065,0.491935,0,1,4.435484e-02
248,0.538153,0.461847,0.506024,0.493976,0,1,4.417671e-02
249,0.540000,0.460000,0.504000,0.496000,0,1,4.400000e-02
250,0.541833,0.458167,0.501992,0.498008,0,1,4.382470e-02
251,0.543651,0.456349,0.500000,0.500000,0,1,4.365079e-02
252,0.545455,0.454545,0.498024,0.501976,0,1,4.743083e-02
253,0.543307,0.456693,0.496063,0.503937,1,1,4.724409e-02
254,0.541176,0.458824,0.494118,0.505882,1,1,4.705882e-02
255,0.539062,0.460938,0.492188,0.507812,1,1,4.687500e-02
256,0.536965,0.463035,0.490272,0.509728,1,1,4.669261e-02
257,0.534884,0.465116,0.488372,0.511628,1,1,4.651163e-02
258,0.532819,0.467181,0.486486,0.513514,1,1,4.633205e-02
259,0.530769,0.469231,0.484615,0.515385,1,1,4.615385e-02
260,0.528736,0.471264,0.482759,0.517241,1,1,4.597701e-02
261,0.526718,0.473282,0.480916,0.519084,1,1,4.580153e-02
262,0.524715,0.475285,0.479087,0.520913,1,1,4.562738e-02
263,0.522727,0.477273,0.477273,0.522727,1,1,4.545455e-02
264,0.520755,0.479245,0.475472,0.524528,1,1,4.528302e-02
265,0.518797,0.481203,0.473684,0.526316,1,1,4.511278e-02
266,0.516854,0.483146,0.471910,0.528090,1,1,4.494382e-02
267,0.514925,0.485075,0.470149,0.529851,1,1,4.477612e-02
268,0.513011,0.486989,0.468401,0.531599,1,1,4.460967e-02
