step,p0_heads,p1_heads
581,0.507793,0.686806
582,0.549812,0.640998
583,0.506624,0.660930
584,0.467527,0.608741
585,0.434587,0.562279
586,0.398777,0.595693
587,0.369153,0.623426
588,0.415238,0.652358
589,0.455648,0.676105
590,0.502250,0.628657
591,0.537133,0.656652
592,0.576312,0.611131
593,0.605034,0.642258
594,0.628899,0.667815
595,0.589649,0.621848
596,0.627680,0.572871
597,0.588575,0.530659
598,0.609197,0.562063
599,0.626426,0.588380
600,0.663146,0.537143
601,0.692900,0.492921
602,0.705939,0.530237
603,0.666335,0.493983
604,0.677953,0.525710
605,0.708458,0.477735
606,0.670380,0.447072
607,0.636128,0.421312
608,0.605871,0.399742
609,0.650372,0.361287
610,0.660493,0.399263
611,0.695841,0.360895
612,0.724190,0.329603
613,0.686207,0.313080
614,0.651805,0.299398
615,0.621246,0.288041
616,0.664300,0.264513
617,0.632288,0.255559
618,0.569580,0.308160
619,0.613189,0.287245
620,0.648909,0.270150
621,0.609385,0.254931
622,0.555300,0.301680
623,0.519495,0.280675
624,0.488887,0.263540
625,0.537787,0.249749
626,0.578824,0.238413
627,0.605568,0.286256
628,0.638822,0.268344
629,0.590108,0.315055
630,0.547221,0.357987
631,0.584367,0.410935
632,0.540171,0.378364
633,0.497404,0.422522
634,0.461058,0.461085
635,0.497794,0.433996
636,0.541735,0.485325
637,0.578608,0.529242
638,0.536020,0.562198
639,0.492376,0.515777
640,0.455786,0.550876
641,0.425041,0.580331
642,0.389189,0.531475
643,0.359615,0.489429
644,0.335279,0.453784
645,0.312066,0.498242
646,0.358784,0.535544
647,0.338070,0.498506
648,0.389484,0.455382
649,0.360978,0.498730
650,0.337486,0.535616
651,0.386416,0.573387
652,0.358449,0.603794
653,0.402985,0.562504
654,0.451456,0.600333
655,0.491480,0.559480
656,0.450788,0.511455
657,0.416689,0.470431
658,0.458132,0.509737
659,0.493844,0.543071
660,0.539248,0.496603
661,0.577365,0.457119
662,0.609073,0.423957
663,0.635331,0.396286
664,0.657040,0.373270
665,0.606078,0.341230
666,0.632853,0.322899
667,0.584446,0.297518
668,0.541937,0.276876
669,0.497474,0.321749
670,0.460811,0.296584
671,0.504498,0.282138
672,0.466751,0.262295
673,0.509573,0.250903
674,0.471726,0.293392
675,0.514496,0.347572
676,0.550709,0.397024
677,0.512323,0.369288
678,0.543143,0.412122
679,0.510475,0.388177
680,0.536697,0.425088
681,0.508904,0.404504
682,0.559936,0.364327
683,0.507569,0.418551
684,0.462880,0.466301
685,0.431860,0.432824
686,0.394977,0.478670
687,0.369788,0.443208
688,0.348916,0.413499
689,0.388611,0.451669
690,0.423578,0.484584
691,0.478717,0.438003
692,0.434900,0.486895
693,0.398412,0.528690
694,0.440346,0.563514
695,0.402929,0.598123
696,0.444291,0.626474
697,0.480089,0.649915
698,0.436049,0.676898
699,0.409089,0.632348
700,0.373172,0.662542
701,0.414135,0.681562
702,0.464849,0.630491
703,0.501284,0.655135
704,0.457407,0.680088
705,0.426625,0.634087
706,0.390511,0.662860
707,0.360713,0.686412
708,0.336620,0.639831
709,0.312936,0.667562
710,0.359333,0.687495
711,0.400995,0.703914
712,0.365651,0.725153
713,0.344993,0.681074
714,0.385023,0.695221
715,0.420343,0.706965
716,0.475510,0.652110
717,0.506709,0.671244
718,0.553956,0.619278
719,0.580010,0.644111
720,0.601816,0.664632
721,0.620042,0.681602
722,0.586880,0.641391
723,0.630237,0.585884
724,0.665535,0.536860
725,0.694165,0.494583
726,0.717385,0.458685
727,0.736259,0.428490
728,0.748720,0.477008
729,0.763618,0.443875
730,0.775793,0.416089
731,0.731002,0.379509
732,0.741757,0.428488
733,0.700516,0.397023
734,0.662665,0.370921
735,0.628741,0.349305
736,0.598855,0.331403
737,0.572852,0.316558
738,0.510147,0.371157
739,0.531365,0.412367
740,0.474498,0.463026
741,0.451845,0.432159
742,0.507332,0.395096
743,0.479634,0.370029
744,0.506232,0.410463
745,0.453981,0.462004
746,0.410306,0.506507
747,0.387719,0.469436
748,0.368888,0.438173
749,0.334395,0.486046
750,0.373542,0.522162
751,0.357756,0.488139
752,0.415087,0.444085
753,0.392420,0.415728
754,0.427630,0.452417
755,0.482113,0.410016
756,0.438365,0.459520
757,0.410756,0.427785
758,0.375046,0.474966
759,0.345711,0.515458
760,0.321657,0.549739
761,0.368617,0.587242
762,0.417209,0.545521
763,0.387595,0.574366
764,0.429447,0.538723
765,0.477810,0.582341
766,0.519285,0.618456
767,0.555892,0.577133
768,0.512431,0.527609
769,0.475314,0.485042
770,0.443962,0.449006
771,0.491894,0.413171
772,0.527140,0.456329
773,0.556902,0.493563
774,0.523076,0.462854
775,0.568705,0.420216
776,0.533237,0.394955
777,0.577185,0.360406
778,0.601848,0.401645
779,0.622418,0.437855
780,0.586908,0.416096
781,0.531172,0.471424
782,0.574080,0.428494
783,0.536469,0.401970
784,0.504152,0.379861
785,0.456166,0.433132
786,0.415974,0.479715
787,0.455536,0.517812
788,0.502894,0.475239
789,0.468291,0.440431
790,0.513796,0.405101
791,0.477534,0.376718
792,0.511728,0.419064
793,0.465863,0.468050
794,0.501777,0.505593
795,0.545809,0.462613
796,0.501511,0.504754
797,0.464109,0.465688
798,0.501284,0.504041
799,0.458034,0.545662
800,0.496089,0.577798
801,0.453653,0.611990
802,0.492336,0.637997
803,0.525307,0.659491
804,0.553171,0.677263
805,0.502211,0.703052
806,0.458817,0.724007
807,0.422391,0.741081
808,0.465394,0.753945
809,0.508494,0.706346
810,0.545412,0.725508
811,0.581487,0.679628
812,0.611496,0.637646
813,0.640964,0.669581
814,0.664979,0.628609
815,0.684747,0.592237
816,0.701043,0.560488
817,0.659108,0.578651
818,0.673581,0.551484
819,0.685630,0.528143
820,0.695679,0.508201
821,0.704077,0.491227
822,0.645834,0.432388
823,0.662546,0.418282
824,0.624961,0.442432
825,0.567943,0.389945
826,0.517954,0.347204
827,0.475139,0.312686
828,0.439007,0.284877
829,0.408780,0.262449
830,0.375565,0.303809
831,0.418993,0.359327
832,0.393612,0.330739
833,0.430976,0.379530
834,0.463382,0.423057
835,0.416960,0.470581
836,0.378595,0.511436
837,0.429234,0.474986
838,0.396232,0.509721
839,0.439737,0.478733
840,0.477487,0.452512
841,0.509795,0.430424
842,0.555620,0.485935
843,0.593871,0.533448
844,0.547331,0.488044
845,0.580053,0.528443
846,0.607335,0.562512
847,0.568208,0.524183
848,0.534246,0.491361
849,0.558077,0.520560
850,0.578130,0.545278
851,0.622073,0.491509
852,0.587618,0.463656
853,0.604345,0.492782
854,0.645887,0.442844
855,0.611067,0.419569
856,0.580536,0.400059
857,0.594845,0.431469
858,0.568621,0.414732
859,0.618833,0.369472
860,0.558430,0.427326
861,0.505615,0.478185
862,0.535435,0.512783
863,0.504773,0.481454
864,0.478673,0.454928
865,0.531422,0.410213
866,0.556617,0.445703
867,0.526718,0.423451
868,0.501144,0.404774
869,0.479396,0.389110
870,0.535828,0.348016
871,0.508917,0.335504
872,0.485996,0.325046
873,0.432986,0.384411
874,0.462252,0.420414
875,0.442943,0.401256
876,0.426662,0.385203
877,0.412946,0.371750
878,0.437538,0.401939
879,0.385654,0.463563
880,0.446830,0.416348
881,0.500206,0.377354
882,0.454758,0.428710
883,0.416682,0.473652
884,0.388352,0.437551
885,0.364843,0.407361
886,0.345351,0.382230
887,0.398455,0.350088
888,0.367348,0.399373
889,0.342963,0.370729
890,0.318198,0.417765
891,0.297920,0.458996
892,0.343495,0.429924
893,0.325493,0.465125
894,0.365727,0.440327
895,0.331977,0.396811
896,0.304573,0.361038
897,0.282312,0.331781
898,0.326442,0.313193
899,0.379170,0.364112
900,0.350766,0.339069
901,0.327418,0.318462
902,0.308218,0.301483
903,0.351626,0.343728
904,0.334657,0.328670
905,0.320561,0.316140
906,0.357986,0.352726
907,0.391241,0.385266
908,0.420338,0.413768
909,0.481063,0.366470
910,0.458341,0.355225
911,0.483901,0.385733
912,0.505700,0.412401
913,0.561006,0.363664
914,0.533531,0.354129
915,0.477131,0.416741
916,0.528513,0.375006
917,0.571760,0.340911
918,0.607703,0.313156
919,0.633133,0.356026
920,0.661955,0.325455
921,0.613922,0.376659
922,0.567391,0.351499
923,0.526847,0.330737
924,0.566683,0.305639
925,0.596612,0.350017
926,0.629035,0.321348
927,0.585231,0.304466
928,0.537148,0.355975
929,0.495691,0.402606
930,0.535335,0.449190
931,0.496337,0.416921
932,0.538065,0.383823
933,0.573142,0.356499
934,0.528841,0.331292
935,0.487623,0.378165
936,0.524522,0.355031
937,0.489479,0.395861
938,0.534617,0.448323
939,0.565674,0.419593
940,0.529437,0.456031
941,0.481156,0.413278
942,0.440357,0.377912
943,0.406279,0.348825
944,0.376658,0.393857
945,0.352177,0.433642
946,0.394558,0.409397
947,0.360293,0.371227
948,0.401766,0.351720
949,0.366207,0.321276
950,0.337070,0.296530
951,0.381060,0.281764
952,0.420085,0.269571
953,0.471956,0.321102
954,0.441844,0.366496
955,0.416572,0.407077
956,0.377863,0.370394
957,0.357476,0.410519
958,0.410746,0.462334
959,0.377921,0.423713
960,0.350860,0.391584
961,0.328582,0.364982
962,0.310229,0.342995
963,0.352649,0.384443
964,0.406322,0.350151
965,0.373717,0.401283
966,0.349256,0.374114
967,0.323254,0.422646
968,0.368672,0.465700
969,0.339141,0.508716
970,0.382974,0.545671
971,0.421823,0.576708
972,0.382750,0.611998
973,0.421627,0.637119
974,0.399822,0.595647
975,0.433230,0.617382
976,0.414528,0.581578
977,0.398821,0.550438
978,0.427151,0.569514
979,0.413668,0.542912
980,0.476053,0.484477
981,0.426413,0.536501
982,0.479641,0.486804
983,0.450484,0.456193
984,0.500409,0.414625
985,0.468027,0.389521
986,0.425897,0.440753
987,0.472813,0.405662
988,0.436884,0.449574
989,0.480750,0.493841
990,0.521051,0.456722
991,0.480348,0.420446
992,0.443151,0.463508
993,0.486089,0.506799
994,0.451620,0.468967
995,0.422670,0.437070
996,0.458841,0.473612
997,0.489948,0.504913
998,0.539851,0.456648
999,0.491455,0.504176
1000,0.533893,0.463125
1001,0.567325,0.503108
1002,0.595280,0.537083
1003,0.557323,0.502642
1004,0.581263,0.531536
1005,0.621462,0.481183
1006,0.654389,0.438641
1007,0.681272,0.403153
