game_size,seed,algorithm,br_calls,full_exploitability
50,0,double_oracle,13,7.389336e-01
50,0,fictitious_play,13,6.838179e-01
50,0,double_oracle,14,6.287853e-01
50,0,fictitious_play,14,7.555872e-01
50,0,double_oracle,15,5.356036e-01
50,0,fictitious_play,15,7.083630e-01
50,0,double_oracle,16,6.849744e-01
50,0,fictitious_play,16,6.666946e-01
50,0,double_oracle,17,5.739351e-01
50,0,fictitious_play,17,6.712990e-01
50,0,double_oracle,18,5.026019e-01
50,0,fictitious_play,18,6.759108e-01
50,0,double_oracle,19,6.263606e-01
50,0,fictitious_play,19,6.421153e-01
50,0,double_oracle,20,3.556840e-01
50,0,fictitious_play,20,6.115384e-01
50,0,double_oracle,21,3.102742e-01
50,0,fictitious_play,21,6.221305e-01
50,0,double_oracle,22,2.824144e-01
50,0,fictitious_play,22,5.950814e-01
50,0,double_oracle,23,3.465185e-01
50,0,fictitious_play,23,6.445944e-01
50,0,double_oracle,24,3.473149e-01
50,0,fictitious_play,24,6.188106e-01
50,0,double_oracle,25,2.502828e-01
50,0,fictitious_play,25,6.632749e-01
50,0,double_oracle,26,3.060849e-01
50,0,fictitious_play,26,6.387092e-01
50,0,double_oracle,27,1.804301e-01
50,0,fictitious_play,27,6.505109e-01
50,0,double_oracle,28,2.420965e-01
50,0,fictitious_play,28,6.280795e-01
50,0,double_oracle,29,5.154326e-02
50,0,fictitious_play,29,6.071435e-01
50,0,double_oracle,30,7.701069e-02
50,0,fictitious_play,30,6.110688e-01
50,0,double_oracle,31,1.301618e-02
50,0,fictitious_play,31,5.919729e-01
50,0,double_oracle,32,1.963707e-15
50,0,fictitious_play,32,5.740343e-01
50,0,double_oracle,33,1.963707e-15
50,0,fictitious_play,33,5.571509e-01
50,0,double_oracle,34,1.963707e-15
50,0,fictitious_play,34,5.412323e-01
50,0,double_oracle,35,1.963707e-15
50,0,fictitious_play,35,5.261981e-01
50,0,double_oracle,36,1.963707e-15
50,0,fictitious_play,36,5.287008e-01
50,0,double_oracle,37,1.963707e-15
50,0,fictitious_play,37,5.147876e-01
50,0,double_oracle,38,1.963707e-15
50,0,fictitious_play,38,5.015880e-01
50,0,double_oracle,39,1.963707e-15
50,0,fictitious_play,39,4.890483e-01
